Serving HTTP on 0.0.0.0 port 59610 (http://0.0.0.0:59610/) ...
172.17.0.1 - - [09/Aug/2025 07:44:09] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:44:10] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:44:10] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:44:10] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 07:44:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [09/Aug/2025 07:44:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 07:44:12] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 07:44:12] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:44:25] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 07:46:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 07:46:17] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 07:46:17] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:46:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:46:31] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 07:46:31] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:46:38] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:50:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:50:40] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:50:40] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:50:40] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 07:50:43] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 07:59:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 07:59:50] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 07:59:50] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:03:44] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:03:53] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:03:53] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:03:53] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:05:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:05:31] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:05:31] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:05:39] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:05:47] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:05:47] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:05:53] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:06:09] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:06:15] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:06:15] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:06:15] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:06:45] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:10:04] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:13:39] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:14:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:14:05] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:14:05] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:14:16] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:14:16] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:14:16] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:14:17] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:14:28] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:15:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:16:55] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:17:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:18:02] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:19:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:19:00] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:19:00] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:19:24] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:19:27] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:19:27] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:19:28] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:19:50] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:19:50] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:19:50] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:19:50] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:19:50] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:20:24] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Aug/2025 08:21:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:21:58] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:25] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [09/Aug/2025 08:45:46] code 404, message File not found
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:45:46] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Aug/2025 08:48:07] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Aug/2025 08:48:26] "GET /style.css HTTP/1.1" 200 -
